id,collection_date,transductor_id,generated_energy_peak_time,generated_energy_off_peak_time,consumption_peak_time,consumption_off_peak_time,inductive_power_peak_time,inductive_power_off_peak_time,capacitive_power_peak_time,capacitive_power_off_peak_time,tax_id
26404,2020-11-02 21:45:00,1,0.0,1653.73608398438,0.0,4677.80712890625,0.0,2890.10986328125,0.0,2538.19091796875,
26405,2020-11-02 22:00:00,1,0.0,1629.677734375,0.0,4651.26171875,0.0,2854.80883789062,0.0,2530.68725585938,
26406,2020-11-02 22:15:00,1,0.0,1612.5703125,0.0,4630.41455078125,0.0,2847.41284179688,0.0,2544.20166015625,
26407,2020-11-02 22:30:00,1,0.0,1648.80651855469,0.0,4658.11474609375,0.0,2870.86889648438,0.0,2535.60205078125,
26408,2020-11-02 22:45:00,1,0.0,1668.19116210938,0.0,4679.39697265625,0.0,2899.66357421875,0.0,2540.7802734375,
26409,2020-11-02 23:00:00,1,0.0,1628.16528320312,0.0,4659.88525390625,0.0,2873.84448242188,0.0,2534.41088867188,
26410,2020-11-02 23:15:00,1,0.0,1644.29443359375,0.0,4746.859375,0.0,2865.40966796875,0.0,2561.43920898438,
26411,2020-11-02 23:30:00,1,0.0,1662.11608886719,0.0,4726.1416015625,0.0,2866.13208007812,0.0,2562.98486328125,
26412,2020-11-02 23:45:00,1,0.0,1687.232421875,0.0,4746.1962890625,0.0,2889.27734375,0.0,2564.72216796875,
26413,2020-11-03 00:00:00,1,0.0,1674.27038574219,0.0,4712.95849609375,0.0,2853.32495117188,0.0,2581.9970703125,
26414,2020-11-03 00:15:00,1,0.0,1635.20166015625,0.0,4648.06591796875,0.0,2814.18017578125,0.0,2571.70751953125,
26415,2020-11-03 00:30:00,1,0.0,1686.58801269531,0.0,4759.90673828125,0.0,2900.5517578125,0.0,2584.87768554688,
26416,2020-11-03 00:45:00,1,0.0,1640.21264648438,0.0,4705.7900390625,0.0,2851.67456054688,0.0,2571.52319335938,
26504,2020-11-03 01:00:00,1,0.0,1653.62182617188,0.0,4736.2578125,0.0,2862.60400390625,0.0,2585.3505859375,
26505,2020-11-03 01:15:00,1,0.0,1743.30200195312,0.0,4749.34912109375,0.0,2913.6728515625,0.0,2628.0966796875,
26506,2020-11-03 01:30:00,1,0.0,1778.443359375,0.0,4759.0283203125,0.0,2911.14379882812,0.0,2625.380859375,
26507,2020-11-03 01:45:00,1,0.0,1742.21435546875,0.0,4754.3837890625,0.0,2885.86474609375,0.0,2611.25048828125,
26508,2020-11-03 02:00:00,1,0.0,1727.63195800781,0.0,4738.25341796875,0.0,2865.16845703125,0.0,2618.28857421875,
26509,2020-11-03 02:15:00,1,0.0,1749.634765625,0.0,4785.3330078125,0.0,2914.28662109375,0.0,2621.72583007812,
26510,2020-11-03 02:30:00,1,0.0,1739.40026855469,0.0,4755.17333984375,0.0,2909.18603515625,0.0,2613.85327148438,
26511,2020-11-03 02:45:00,1,0.0,1720.94396972656,0.0,4709.251953125,0.0,2877.46826171875,0.0,2605.8828125,
26512,2020-11-03 03:00:00,1,0.0,1703.49060058594,0.0,4676.4609375,0.0,2831.79345703125,0.0,2600.28393554688,
26513,2020-11-03 03:15:00,1,0.0,1731.58276367188,0.0,4735.52197265625,0.0,2912.02783203125,0.0,2617.30810546875,
26514,2020-11-03 03:30:00,1,0.0,1712.62329101562,0.0,4719.3466796875,0.0,2897.12573242188,0.0,2601.5244140625,
26515,2020-11-03 03:45:00,1,0.0,1686.10974121094,0.0,4686.634765625,0.0,2837.3212890625,0.0,2591.99658203125,
26516,2020-11-03 04:00:00,1,0.0,1722.03283691406,0.0,4739.18017578125,0.0,2882.14916992188,0.0,2620.31127929688,
26517,2020-11-03 04:15:00,1,0.0,1754.64990234375,0.0,4738.90234375,0.0,2907.748046875,0.0,2608.17724609375,
26518,2020-11-03 04:30:00,1,0.0,1699.09997558594,0.0,4679.97412109375,0.0,2835.02783203125,0.0,2595.6259765625,
26519,2020-11-03 04:45:00,1,0.0,1717.82763671875,0.0,4746.4580078125,0.0,2897.27001953125,0.0,2610.65893554688,
26520,2020-11-03 05:00:00,1,0.0,1750.72143554688,0.0,4761.76708984375,0.0,2919.060546875,0.0,2631.00952148438,
26521,2020-11-03 05:15:00,1,0.0,1741.0654296875,0.0,4755.5859375,0.0,2912.11987304688,0.0,2635.23803710938,
26522,2020-11-03 05:30:00,1,0.0,1693.07885742188,0.0,4689.744140625,0.0,2843.82788085938,0.0,2586.79296875,
